Order_ID,Order_Date,City,Restaurant_Name,Cuisine_Type,Order_Amount,Discount_Applied,Discount_Amount,Final_Amount,Payment_Method,Delivery_Time_Minutes,Distance_km,Rider_Rating,Customer_Rating,Order_Status
ORD28,2026-02-22,Hyderabad,Burger Town,Indian,1348.23,Yes,0.0,1348.23,Wallet,91,25.96,2.5,3.5,Cancelled
ORD29,2026-02-22,Hyderabad,Spice Hub,Indian,922.21,,50.0,872.21,Card,51,21.08,3.2,2.7,Cancelled
ORD30,2026-02-22,Hyderabad,Biryani House,Italian,461.34,Yes,50.0,411.34,Wallet,46,16.04,4.3,3.1,Cancelled
ORD31,2026-02-22,Delhi,Food Factory,Chinese,1947.8,,0.0,1947.8,Card,66,8.16,4.2,4.1,Cancelled
ORD32,2026-02-22,Chennai,Urban Tandoor,Chinese,423.96,Yes,150.0,273.96,UPI,70,2.07,4.0,3.5,Cancelled
ORD33,2026-02-22,Chennai,Sushi Spot,Indian,245.24,No,,245.24,Card,115,11.01,4.1,4.0,Delivered
ORD34,2026-02-22,Hyderabad,Biryani House,Fast Food,1132.23,,0.0,1132.23,Card,104,29.58,3.1,4.0,Delayed
ORD35,2026-02-22,Bangalore,Pizza Palace,Indian,1559.0,,,1559.0,Cash,31,22.12,3.4,3.9,Delayed
ORD36,2026-02-22,Pune,Pizza Palace,Italian,1322.03,,100.0,1222.03,Wallet,25,24.68,4.5,2.5,Delivered
ORD37,2026-02-22,Hyderabad,Sushi Spot,Fast Food,1090.17,,150.0,940.1700000000001,Card,94,2.18,4.0,4.0,Delayed
ORD38,2026-02-22,Bangalore,Sushi Spot,Fast Food,180.69,,,180.69,Card,81,24.48,3.4,2.3,Delivered
ORD39,2026-02-22,Delhi,Curry Kingdom,Italian,1889.97,No,100.0,1789.97,Cash,54,12.22,4.8,2.4,Cancelled
ORD40,2026-02-22,Chennai,Biryani House,Japanese,780.97,,0.0,780.97,Card,103,7.06,3.9,4.1,Cancelled
ORD41,2026-02-22,Bangalore,Biryani House,Fast Food,572.82,,100.0,472.82000000000005,UPI,30,24.7,3.9,3.6,Cancelled
ORD42,2026-02-22,Bangalore,Pizza Palace,Japanese,597.43,No,150.0,447.42999999999995,UPI,62,29.0,3.9,4.6,Delayed
ORD43,2026-02-22,Delhi,Burger Town,Fast Food,499.11,,,499.11,UPI,119,11.13,4.3,4.7,Delayed
ORD44,2026-02-22,Bangalore,Burger Town,Italian,1791.11,,,1791.11,Card,47,19.62,2.7,2.5,Delivered
ORD45,2026-02-22,Mumbai,Pizza Palace,Japanese,1812.33,No,,1812.33,UPI,98,17.84,3.4,4.8,Cancelled
ORD46,2026-02-22,Delhi,Biryani House,Indian,1951.28,Yes,0.0,1951.28,Cash,32,5.66,3.9,4.1,Cancelled
ORD47,2026-02-22,Hyderabad,Urban Tandoor,Fast Food,1356.13,,0.0,1356.13,Card,55,6.1,2.5,3.5,Delivered
ORD48,2026-02-22,Chennai,Burger Town,Japanese,480.82,Yes,0.0,480.82,Card,22,25.63,4.1,3.7,Delayed
ORD49,2026-02-22,Pune,Burger Town,Chinese,323.3,No,50.0,273.3,Card,100,8.69,3.1,4.9,Delayed
ORD50,2026-02-22,Chennai,Urban Tandoor,Chinese,877.23,,100.0,777.23,Wallet,68,27.28,3.6,3.1,Delivered
ORD51,2026-02-22,Chennai,Pizza Palace,Chinese,1343.44,No,0.0,1343.44,UPI,78,26.06,3.1,3.5,Delayed
ORD52,2026-02-22,Bangalore,Biryani House,Fast Food,1208.21,Yes,0.0,1208.21,Cash,78,19.72,2.9,4.8,Cancelled
ORD53,2026-02-22,Pune,Food Factory,Italian,1914.77,No,150.0,1764.77,UPI,20,11.73,2.5,4.8,Delayed
ORD54,2026-02-22,Hyderabad,Sushi Spot,Chinese,942.14,No,100.0,842.14,Card,67,17.6,5.0,2.2,Delivered
ORD55,2026-02-22,Pune,Sushi Spot,Chinese,715.54,No,50.0,665.54,Cash,46,25.68,3.3,2.5,Delayed
ORD56,2026-02-22,Chennai,Sushi Spot,Fast Food,1180.08,,0.0,1180.08,Wallet,109,25.48,4.8,2.2,Delayed
ORD57,2026-02-22,Mumbai,Urban Tandoor,Fast Food,536.5,No,100.0,436.5,Wallet,61,29.71,2.9,3.6,Delivered
ORD58,2026-02-22,Bangalore,Urban Tandoor,Chinese,1773.14,,150.0,1623.14,Cash,31,25.61,2.8,4.1,Delivered
ORD59,2026-02-22,Hyderabad,Spice Hub,Indian,1172.72,,100.0,1072.72,Card,56,24.47,4.5,4.6,Delayed
ORD60,2026-02-22,Pune,Burger Town,Chinese,1839.5,Yes,0.0,1839.5,UPI,21,15.54,4.5,3.9,Cancelled
ORD61,2026-02-22,Chennai,Biryani House,Italian,1448.64,No,,1448.64,Wallet,30,2.47,4.7,2.1,Delayed
ORD62,2026-02-22,Bangalore,Food Factory,Fast Food,1220.9,,0.0,1220.9,Wallet,46,17.77,2.6,3.4,Delayed
ORD63,2026-02-22,Delhi,Pizza Palace,Japanese,1153.89,Yes,100.0,1053.89,UPI,36,18.13,2.6,2.1,Cancelled
ORD64,2026-02-22,Mumbai,Spice Hub,Indian,1671.81,No,,1671.81,Wallet,68,16.58,3.3,4.5,Cancelled
ORD65,2026-02-22,Delhi,Pizza Palace,Indian,652.35,No,50.0,602.35,Cash,19,14.26,4.6,2.6,Delivered
ORD66,2026-02-22,Pune,Pizza Palace,Chinese,911.0,,150.0,761.0,Cash,113,19.49,4.3,4.9,Cancelled
ORD67,2026-02-22,Delhi,Biryani House,Chinese,1105.16,Yes,50.0,1055.16,Cash,44,2.19,3.5,3.3,Delayed
ORD68,2026-02-22,Mumbai,Urban Tandoor,Fast Food,1526.48,,50.0,1476.48,Cash,104,1.74,4.9,4.5,Delayed
ORD69,2026-02-22,Delhi,Spice Hub,Italian,1437.55,,,1437.55,Cash,15,6.03,2.9,2.8,Cancelled
ORD70,2026-02-22,Bangalore,Curry Kingdom,Chinese,1166.07,No,0.0,1166.07,Card,62,6.3,4.8,3.9,Delayed
ORD71,2026-02-22,Chennai,Curry Kingdom,Japanese,1105.89,No,100.0,1005.8900000000001,Wallet,78,17.08,4.0,3.3,Cancelled
ORD72,2026-02-22,Mumbai,Biryani House,Japanese,608.3,No,0.0,608.3,Wallet,30,5.6,2.8,3.0,Delivered
ORD73,2026-02-22,Mumbai,Food Factory,Fast Food,319.83,,150.0,169.82999999999998,UPI,61,2.18,4.6,4.1,Cancelled
ORD74,2026-02-22,Bangalore,Curry Kingdom,Indian,1027.22,Yes,,1027.22,Wallet,104,23.14,4.5,3.0,Delivered
ORD75,2026-02-22,Mumbai,Biryani House,Chinese,1009.65,No,,1009.65,Card,115,12.56,4.0,3.9,Delivered
ORD76,2026-02-22,Chennai,Burger Town,Italian,233.81,Yes,100.0,133.81,UPI,109,1.44,4.8,3.5,Cancelled
ORD77,2026-02-22,Pune,Spice Hub,Fast Food,1147.85,No,50.0,1097.85,Wallet,18,18.86,4.9,4.8,Delayed
ORD78,2026-02-22,Bangalore,Sushi Spot,Chinese,1754.32,Yes,,1754.32,Wallet,46,28.27,3.9,3.2,Delivered
ORD79,2026-02-22,Mumbai,Burger Town,Japanese,1340.08,No,100.0,1240.08,Cash,47,24.52,4.6,3.9,Delayed
ORD80,2026-02-22,Mumbai,Food Factory,Fast Food,1667.79,No,,1667.79,Wallet,54,27.26,3.0,2.2,Delivered
ORD81,2026-02-22,Pune,Curry Kingdom,Indian,336.44,,150.0,186.44,Wallet,16,2.13,4.0,3.0,Cancelled
ORD82,2026-02-22,Chennai,Curry Kingdom,Italian,1363.09,,50.0,1313.09,Wallet,107,25.5,2.6,4.4,Delivered
ORD83,2026-02-22,Chennai,Burger Town,Fast Food,671.43,,0.0,671.43,Wallet,82,21.09,3.4,4.8,Cancelled
ORD84,2026-02-22,Mumbai,Pizza Palace,Indian,222.49,Yes,100.0,122.49000000000001,Wallet,103,24.3,3.2,2.5,Delayed
ORD85,2026-02-22,Bangalore,Pizza Palace,Fast Food,1538.64,,100.0,1438.64,Card,78,17.7,4.3,2.4,Cancelled
ORD86,2026-02-22,Delhi,Burger Town,Chinese,612.53,No,,612.53,Wallet,110,10.88,4.8,4.6,Cancelled
ORD87,2026-02-22,Delhi,Spice Hub,Indian,943.64,No,,943.64,Wallet,27,22.46,3.1,3.1,Delivered
ORD88,2026-02-22,Bangalore,Sushi Spot,Italian,1138.51,,50.0,1088.51,Wallet,98,24.97,3.3,4.7,Cancelled
ORD89,2026-02-22,Hyderabad,Food Factory,Fast Food,870.02,Yes,0.0,870.02,UPI,26,28.8,4.6,3.1,Delivered
ORD90,2026-02-22,Hyderabad,Sushi Spot,Fast Food,1920.08,Yes,50.0,1870.08,Card,109,28.57,3.9,3.9,Delayed
ORD91,2026-02-22,Chennai,Burger Town,Chinese,979.62,No,150.0,829.62,Wallet,113,18.47,3.9,2.6,Delayed
ORD92,2026-02-22,Mumbai,Curry Kingdom,Italian,1900.46,,,1900.46,Wallet,30,23.9,2.7,3.5,Delivered
ORD93,2026-02-22,Delhi,Spice Hub,Indian,256.48,No,0.0,256.48,Card,109,2.62,4.3,3.6,Delivered
ORD94,2026-02-22,Hyderabad,Urban Tandoor,Chinese,1455.79,,150.0,1305.79,Card,90,20.95,4.6,4.6,Cancelled
ORD95,2026-02-22,Hyderabad,Burger Town,Italian,1701.19,No,50.0,1651.19,Wallet,60,21.33,2.7,4.5,Delivered
ORD96,2026-02-22,Delhi,Biryani House,Chinese,1456.55,,0.0,1456.55,Wallet,19,15.89,3.1,3.7,Delivered
ORD97,2026-02-22,Bangalore,Urban Tandoor,Italian,1746.81,,150.0,1596.81,UPI,100,24.57,4.9,5.0,Delivered
ORD98,2026-02-22,Mumbai,Food Factory,Japanese,1543.75,,150.0,1393.75,Card,84,21.54,3.7,3.1,Delivered
ORD99,2026-02-22,Delhi,Biryani House,Japanese,1454.41,No,50.0,1404.41,Wallet,88,27.28,2.8,3.5,Delayed
ORD100,2026-02-22,Pune,Pizza Palace,Italian,171.0,,150.0,21.0,Card,106,17.57,4.4,4.3,Delivered
ORD101,2026-02-22,Pune,Biryani House,Italian,1672.16,Yes,150.0,1522.16,Card,53,22.64,4.0,4.9,Delivered
ORD102,2026-02-22,Mumbai,Curry Kingdom,Fast Food,843.51,No,150.0,693.51,UPI,39,26.19,3.1,4.9,Cancelled
ORD103,2026-02-22,Chennai,Biryani House,Chinese,172.49,,0.0,172.49,Wallet,46,17.12,3.3,2.1,Delayed
ORD104,2026-02-22,Pune,Food Factory,Indian,1860.59,No,150.0,1710.59,Cash,115,8.34,4.2,2.2,Delayed
ORD105,2026-02-22,Bangalore,Food Factory,Fast Food,457.5,Yes,,457.5,Cash,63,21.18,3.6,3.9,Delayed
ORD106,2026-02-22,Pune,Spice Hub,Fast Food,1230.98,No,,1230.98,UPI,30,22.38,4.8,4.9,Delayed
ORD107,2026-02-22,Chennai,Biryani House,Chinese,257.05,No,0.0,257.05,Cash,116,14.21,4.1,2.8,Delayed
ORD108,2026-02-22,Chennai,Sushi Spot,Italian,498.02,Yes,150.0,348.02,Cash,104,12.26,3.1,2.8,Delayed
ORD109,2026-02-22,Pune,Sushi Spot,Chinese,816.64,Yes,,816.64,Card,114,29.6,4.2,3.6,Delivered
ORD110,2026-02-22,Mumbai,Urban Tandoor,Fast Food,722.63,,,722.63,UPI,98,18.48,3.2,2.4,Cancelled
ORD111,2026-02-22,Pune,Food Factory,Fast Food,290.97,Yes,50.0,240.97000000000003,Card,20,28.54,4.3,3.8,Cancelled
ORD112,2026-02-22,Pune,Curry Kingdom,Chinese,923.75,No,,923.75,Wallet,70,26.42,3.9,2.5,Cancelled
ORD113,2026-02-22,Mumbai,Sushi Spot,Fast Food,910.82,,,910.82,Cash,79,14.93,5.0,3.1,Delayed
ORD114,2026-02-22,Bangalore,Pizza Palace,Indian,1536.72,Yes,50.0,1486.72,Cash,103,29.13,4.6,4.5,Cancelled
ORD115,2026-02-22,Pune,Sushi Spot,Japanese,1017.08,Yes,100.0,917.08,Cash,113,4.88,2.5,2.2,Cancelled
ORD116,2026-02-22,Pune,Sushi Spot,Indian,1429.67,Yes,150.0,1279.67,UPI,83,29.99,5.0,3.7,Delivered
ORD117,2026-02-22,Pune,Urban Tandoor,Italian,1572.63,,100.0,1472.63,Cash,51,22.96,3.4,2.7,Delivered
ORD118,2026-02-22,Chennai,Sushi Spot,Chinese,529.33,No,150.0,379.33000000000004,Wallet,15,28.67,4.0,2.7,Cancelled
ORD119,2026-02-22,Mumbai,Biryani House,Italian,1392.65,,,1392.65,UPI,46,2.36,3.2,2.1,Delivered
ORD120,2026-02-22,Chennai,Curry Kingdom,Fast Food,1071.61,,0.0,1071.61,Cash,68,23.4,3.8,4.6,Delivered
ORD121,2026-02-22,Pune,Urban Tandoor,Fast Food,1171.03,,100.0,1071.03,Wallet,19,3.56,4.5,3.8,Cancelled
ORD122,2026-02-22,Mumbai,Food Factory,Italian,1038.09,,0.0,1038.09,UPI,37,22.9,4.1,4.1,Delayed
ORD123,2026-02-22,Hyderabad,Biryani House,Japanese,543.98,Yes,,543.98,Cash,52,18.9,5.0,3.8,Delivered
ORD124,2026-02-22,Mumbai,Curry Kingdom,Japanese,1327.79,,100.0,1227.79,Card,93,13.69,4.8,3.0,Delivered
ORD125,2026-02-22,Mumbai,Food Factory,Italian,1100.88,No,100.0,1000.8800000000001,Cash,102,27.4,3.2,3.6,Delayed
ORD126,2026-02-22,Bangalore,Sushi Spot,Chinese,1440.64,,150.0,1290.64,UPI,43,5.27,4.8,3.5,Delivered
ORD127,2026-02-22,Hyderabad,Sushi Spot,Chinese,627.75,,50.0,577.75,Card,102,2.33,4.1,3.0,Delivered
ORD128,2026-02-22,Pune,Pizza Palace,Indian,536.89,Yes,150.0,386.89,Card,57,7.96,2.7,2.4,Cancelled
ORD129,2026-02-22,Bangalore,Urban Tandoor,Chinese,386.88,Yes,100.0,286.88,UPI,109,12.61,4.2,2.5,Delayed
ORD130,2026-02-22,Bangalore,Food Factory,Indian,1438.53,,,1438.53,Wallet,39,27.01,3.7,4.0,Cancelled
ORD131,2026-02-22,Delhi,Curry Kingdom,Italian,468.79,No,,468.79,Card,65,2.19,2.9,2.8,Cancelled
ORD132,2026-02-22,Hyderabad,Burger Town,Chinese,477.47,No,100.0,377.47,Wallet,35,16.91,3.8,3.1,Delayed
ORD133,2026-02-22,Mumbai,Sushi Spot,Chinese,1804.3,No,50.0,1754.3,Card,63,15.6,4.2,2.1,Delayed
ORD134,2026-02-22,Chennai,Pizza Palace,Chinese,1628.91,No,100.0,1528.91,Card,100,3.37,4.7,4.8,Delayed
ORD135,2026-02-22,Hyderabad,Pizza Palace,Japanese,262.99,No,,262.99,Cash,40,26.18,2.7,3.8,Cancelled
ORD136,2026-02-22,Hyderabad,Pizza Palace,Italian,1974.58,No,50.0,1924.58,Card,61,11.74,3.7,3.9,Delivered
ORD137,2026-02-22,Chennai,Spice Hub,Fast Food,832.49,,,832.49,Wallet,102,21.89,2.7,2.4,Cancelled
ORD138,2026-02-22,Hyderabad,Curry Kingdom,Indian,396.27,,50.0,346.27,UPI,17,26.96,3.8,3.6,Cancelled
ORD139,2026-02-22,Mumbai,Curry Kingdom,Italian,348.27,Yes,50.0,298.27,UPI,52,16.45,3.1,2.8,Delayed
ORD140,2026-02-22,Delhi,Spice Hub,Japanese,847.98,No,0.0,847.98,UPI,88,17.35,4.6,2.3,Delivered
ORD141,2026-02-22,Bangalore,Sushi Spot,Italian,1140.37,Yes,100.0,1040.37,UPI,39,26.83,4.0,4.0,Delayed
ORD142,2026-02-22,Hyderabad,Spice Hub,Chinese,1609.97,Yes,100.0,1509.97,Cash,32,3.52,3.8,3.8,Cancelled
ORD143,2026-02-22,Chennai,Pizza Palace,Indian,1529.06,No,50.0,1479.06,Card,97,11.98,3.3,4.7,Delivered
ORD144,2026-02-22,Chennai,Curry Kingdom,Chinese,1273.98,Yes,,1273.98,Card,73,11.33,5.0,3.8,Delivered
ORD145,2026-02-22,Pune,Biryani House,Italian,588.87,,50.0,538.87,Card,36,7.53,3.4,3.5,Delayed
ORD146,2026-02-22,Pune,Sushi Spot,Fast Food,1724.01,,,1724.01,Card,76,9.27,2.9,4.7,Delivered
ORD147,2026-02-22,Bangalore,Curry Kingdom,Italian,298.43,No,,298.43,UPI,45,12.9,5.0,2.3,Delivered
ORD148,2026-02-22,Bangalore,Burger Town,Chinese,886.03,,50.0,836.03,Wallet,106,27.6,2.5,4.9,Delayed
ORD149,2026-02-22,Pune,Spice Hub,Fast Food,1057.89,,100.0,957.8900000000001,Card,116,20.39,4.8,3.7,Cancelled
ORD150,2026-02-22,Hyderabad,Food Factory,Italian,1207.48,No,150.0,1057.48,Wallet,65,25.32,3.0,4.9,Delivered
ORD151,2026-02-22,Bangalore,Spice Hub,Japanese,1465.26,No,50.0,1415.26,Wallet,98,15.72,3.1,2.3,Cancelled
ORD152,2026-02-22,Mumbai,Biryani House,Fast Food,1279.65,Yes,150.0,1129.65,UPI,78,3.53,3.8,4.8,Delayed
ORD153,2026-02-22,Chennai,Spice Hub,Italian,743.19,,150.0,593.19,UPI,17,2.5,3.3,2.4,Delayed
ORD154,2026-02-22,Mumbai,Food Factory,Japanese,267.24,Yes,,267.24,Card,58,6.85,4.2,2.3,Cancelled
ORD155,2026-02-22,Bangalore,Urban Tandoor,Fast Food,406.83,,150.0,256.83,UPI,87,23.05,4.0,3.4,Cancelled
ORD156,2026-02-22,Pune,Curry Kingdom,Italian,911.91,No,150.0,761.91,Wallet,108,4.09,4.6,4.2,Cancelled
ORD157,2026-02-22,Chennai,Biryani House,Italian,905.76,,50.0,855.76,UPI,89,28.21,3.0,2.2,Cancelled
ORD158,2026-02-22,Delhi,Spice Hub,Fast Food,1521.07,No,150.0,1371.07,UPI,36,2.39,4.5,4.5,Cancelled
ORD159,2026-02-22,Bangalore,Curry Kingdom,Indian,1538.43,No,150.0,1388.43,Card,74,5.75,2.9,4.4,Delayed
ORD160,2026-02-22,Pune,Burger Town,Indian,1380.61,No,150.0,1230.61,UPI,40,27.33,3.3,3.8,Cancelled
ORD161,2026-02-22,Bangalore,Urban Tandoor,Fast Food,1413.52,No,50.0,1363.52,UPI,86,13.73,3.4,3.4,Delayed
ORD162,2026-02-22,Hyderabad,Pizza Palace,Chinese,707.55,Yes,0.0,707.55,Card,37,13.72,3.9,3.1,Delivered
ORD163,2026-02-22,Bangalore,Sushi Spot,Italian,874.24,,100.0,774.24,UPI,80,16.76,4.8,3.9,Cancelled
ORD164,2026-02-22,Pune,Sushi Spot,Chinese,366.26,Yes,150.0,216.26,Wallet,20,10.65,4.3,4.1,Delayed
ORD165,2026-02-22,Chennai,Biryani House,Japanese,458.45,Yes,150.0,308.45,UPI,43,15.37,4.4,3.7,Delayed
ORD166,2026-02-22,Pune,Urban Tandoor,Fast Food,1995.73,,,1995.73,Cash,71,10.04,3.1,4.2,Delivered
ORD167,2026-02-22,Hyderabad,Spice Hub,Fast Food,212.04,No,100.0,112.03999999999999,Wallet,100,21.71,3.7,4.3,Delayed
ORD168,2026-02-22,Bangalore,Curry Kingdom,Japanese,340.39,Yes,50.0,290.39,Wallet,27,4.21,4.6,2.4,Cancelled
ORD169,2026-02-22,Bangalore,Burger Town,Japanese,884.98,Yes,150.0,734.98,Cash,43,16.66,3.7,3.2,Delivered
ORD170,2026-02-22,Mumbai,Food Factory,Japanese,1577.98,No,50.0,1527.98,Wallet,41,19.59,4.2,3.6,Delayed
ORD171,2026-02-22,Delhi,Food Factory,Indian,615.83,No,,615.83,UPI,83,24.98,4.9,3.0,Delivered
ORD172,2026-02-22,Pune,Urban Tandoor,Chinese,570.6,No,150.0,420.6,UPI,37,14.4,4.9,2.5,Delayed
ORD173,2026-02-22,Delhi,Spice Hub,Japanese,1234.53,Yes,,1234.53,UPI,76,3.92,3.1,4.2,Delivered
ORD174,2026-02-22,Pune,Curry Kingdom,Indian,1246.98,Yes,50.0,1196.98,Wallet,114,27.64,4.5,2.1,Cancelled
ORD175,2026-02-22,Bangalore,Food Factory,Fast Food,1355.03,Yes,50.0,1305.03,Card,106,11.86,2.7,2.2,Delayed
ORD176,2026-02-22,Delhi,Pizza Palace,Indian,342.86,,0.0,342.86,Wallet,55,27.84,3.6,2.3,Delivered
ORD177,2026-02-22,Delhi,Food Factory,Japanese,1971.96,,150.0,1821.96,Card,50,4.62,4.8,4.6,Delayed
ORD178,2026-02-22,Pune,Biryani House,Italian,1109.85,,0.0,1109.85,Card,54,18.63,3.4,4.2,Delivered
ORD179,2026-02-22,Hyderabad,Spice Hub,Japanese,530.32,Yes,,530.32,Card,71,1.13,3.3,3.2,Delayed
ORD180,2026-02-22,Mumbai,Curry Kingdom,Italian,1144.18,Yes,0.0,1144.18,Wallet,89,27.77,3.7,3.4,Delivered
ORD181,2026-02-22,Bangalore,Food Factory,Chinese,1849.14,Yes,50.0,1799.14,Card,57,1.95,4.8,2.7,Delayed
ORD182,2026-02-22,Bangalore,Curry Kingdom,Indian,1218.62,Yes,50.0,1168.62,Card,66,13.15,4.8,3.1,Delayed
ORD183,2026-02-22,Delhi,Spice Hub,Fast Food,1224.09,Yes,150.0,1074.09,Wallet,36,7.38,3.0,3.5,Delayed
ORD184,2026-02-22,Delhi,Biryani House,Indian,1954.75,No,0.0,1954.75,UPI,119,5.31,3.5,2.3,Delayed
ORD185,2026-02-22,Mumbai,Biryani House,Chinese,1994.22,,,1994.22,Wallet,63,9.69,3.3,3.2,Delayed
ORD186,2026-02-22,Hyderabad,Pizza Palace,Italian,939.56,No,150.0,789.56,Wallet,70,27.04,3.0,2.6,Cancelled
ORD187,2026-02-22,Mumbai,Biryani House,Fast Food,217.62,No,50.0,167.62,Wallet,44,25.26,4.0,2.9,Delayed
ORD188,2026-02-22,Mumbai,Urban Tandoor,Japanese,1471.01,Yes,,1471.01,Wallet,80,16.5,3.7,3.5,Delivered
ORD189,2026-02-22,Bangalore,Pizza Palace,Chinese,1565.91,,100.0,1465.91,Wallet,18,6.28,4.7,4.8,Cancelled
ORD190,2026-02-22,Mumbai,Biryani House,Italian,840.62,,150.0,690.62,Cash,88,27.03,3.8,4.4,Cancelled
ORD191,2026-02-22,Pune,Curry Kingdom,Fast Food,1961.02,,50.0,1911.02,Wallet,46,21.76,4.1,2.1,Delayed
ORD192,2026-02-22,Hyderabad,Biryani House,Italian,560.65,No,0.0,560.65,Cash,102,6.69,3.8,3.8,Cancelled
ORD193,2026-02-22,Delhi,Curry Kingdom,Japanese,777.65,Yes,100.0,677.65,Wallet,115,6.18,4.1,2.7,Delivered
ORD194,2026-02-22,Mumbai,Biryani House,Japanese,333.97,Yes,,333.97,Wallet,110,29.67,4.0,4.4,Delayed
ORD195,2026-02-22,Pune,Urban Tandoor,Indian,1930.9,,100.0,1830.9,Card,51,5.09,3.5,3.0,Cancelled
ORD196,2026-02-22,Pune,Spice Hub,Indian,310.81,Yes,50.0,260.81,Wallet,88,3.48,3.0,2.1,Delayed
ORD197,2026-02-22,Mumbai,Burger Town,Indian,485.66,,150.0,335.66,Card,50,19.64,4.3,4.7,Cancelled
ORD198,2026-02-22,Mumbai,Sushi Spot,Fast Food,1305.81,,,1305.81,Wallet,25,8.52,3.4,3.8,Cancelled
ORD199,2026-02-22,Pune,Burger Town,Fast Food,645.92,,,645.92,Wallet,19,11.01,4.4,3.1,Delivered
ORD200,2026-02-22,Hyderabad,Urban Tandoor,Fast Food,1742.98,,50.0,1692.98,Wallet,113,28.51,4.4,2.4,Delayed
ORD201,2026-02-22,Pune,Spice Hub,Japanese,1756.67,No,50.0,1706.67,Cash,73,26.94,4.5,3.3,Cancelled
ORD202,2026-02-22,Mumbai,Spice Hub,Chinese,191.57,Yes,100.0,91.57,Wallet,28,22.51,4.2,3.2,Cancelled
